suite,name,issue,08-21,08-22
torchbench,tts_angular,,inductor,inductor
torchbench,vgg16,,pass,pass
torchbench,vision_maskrcnn,,inductor,inductor
torchbench,yolov3,,inductor,inductor
huggingface,AlbertForMaskedLM,,pass,pass
huggingface,AlbertForQuestionAnswering,,pass,pass
huggingface,AllenaiLongformerBase,,inductor,inductor
huggingface,BartForCausalLM,,inductor,inductor
huggingface,BartForConditionalGeneration,,inductor,inductor
huggingface,BertForMaskedLM,,pass,pass
huggingface,BertForQuestionAnswering,,pass,pass
huggingface,BigBird,,inductor,inductor
huggingface,BlenderbotSmallForCausalLM,,pass,pass
huggingface,BlenderbotSmallForConditionalGeneration,,inductor,inductor
huggingface,CamemBert,,inductor,inductor
huggingface,DebertaForMaskedLM,,pass,pass
huggingface,DebertaForQuestionAnswering,,inductor,inductor
huggingface,DebertaV2ForMaskedLM,,aot,aot
huggingface,DebertaV2ForQuestionAnswering,,aot,aot
huggingface,DistilBertForMaskedLM,,pass,pass
huggingface,DistilBertForQuestionAnswering,,pass,pass
huggingface,DistillGPT2,,pass,pass
huggingface,ElectraForCausalLM,,pass,pass
huggingface,ElectraForQuestionAnswering,,pass,pass
huggingface,GPT2ForSequenceClassification,,pass,pass
huggingface,GPTNeoForCausalLM,,aot,aot
huggingface,GPTNeoForSequenceClassification,,aot,aot
huggingface,GoogleFnet,,inductor,inductor
huggingface,LayoutLMForMaskedLM,,pass,pass
huggingface,LayoutLMForSequenceClassification,,pass,pass
huggingface,M2M100ForConditionalGeneration,,pass,pass
huggingface,MBartForCausalLM,,pass,pass
huggingface,MBartForConditionalGeneration,,pass,pass
huggingface,MT5ForConditionalGeneration,,pass,pass
huggingface,MegatronBertForCausalLM,,pass,pass
huggingface,MegatronBertForQuestionAnswering,,pass,pass
huggingface,MobileBertForMaskedLM,,pass,pass
huggingface,MobileBertForQuestionAnswering,,pass,pass
huggingface,OPTForCausalLM,,pass,pass
huggingface,PLBartForCausalLM,,pass,pass
huggingface,PLBartForConditionalGeneration,,pass,pass
huggingface,PegasusForCausalLM,,pass,pass
huggingface,PegasusForConditionalGeneration,,pass,pass
huggingface,RobertaForCausalLM,,pass,pass
huggingface,RobertaForQuestionAnswering,,pass,pass
huggingface,Speech2Text2ForCausalLM,,pass,pass
huggingface,T5ForConditionalGeneration,,pass,pass
huggingface,T5Small,,pass,pass
huggingface,TrOCRForCausalLM,,pass,pass
huggingface,XGLMForCausalLM,,inductor,inductor
huggingface,XLNetLMHeadModel,,pass,pass
huggingface,YituTechConvBert,,pass,pass
timm_models,adv_inception_v3,,pass,pass
timm_models,beit_base_patch16_224,,pass,pass
timm_models,botnet26t_256,,pass,pass
timm_models,cait_m36_384,,pass,pass
timm_models,coat_lite_mini,,pass,pass
timm_models,convit_base,,pass,pass
timm_models,convmixer_768_32,,pass,pass
timm_models,convnext_base,,pass,pass
timm_models,crossvit_9_240,,pass,pass
timm_models,cspdarknet53,,pass,pass
timm_models,deit_base_distilled_patch16_224,,pass,pass
timm_models,densenet121,,pass,pass
timm_models,dla102,,pass,pass
timm_models,dm_nfnet_f0,,pass,pass
timm_models,dpn107,,pass,pass
timm_models,eca_botnext26ts_256,,pass,pass
timm_models,eca_halonext26ts,,pass,pass
timm_models,ecaresnet101d,,pass,pass
timm_models,ese_vovnet19b_dw,,pass,pass
timm_models,fbnetc_100,,pass,pass
timm_models,fbnetv3_b,,pass,pass
timm_models,gernet_l,,pass,pass
timm_models,ghostnet_100,,pass,pass
timm_models,gluon_inception_v3,,pass,pass
timm_models,gluon_senet154,,pass,pass
timm_models,gluon_xception65,,pass,pass
timm_models,gmixer_24_224,,pass,pass
timm_models,gmlp_s16_224,,pass,pass
timm_models,hardcorenas_a,,pass,pass
timm_models,hrnet_w18,,pass,inductor
timm_models,inception_v3,,pass,pass
timm_models,jx_nest_base,,pass,aot
timm_models,lcnet_050,,pass,pass
timm_models,legacy_senet154,,pass,pass
timm_models,levit_128,,aot,aot
timm_models,mixer_b16_224,,pass,pass
timm_models,mixnet_l,,pass,pass
timm_models,mnasnet_100,,pass,pass
timm_models,mobilenetv2_100,,pass,pass
timm_models,mobilenetv3_large_100,,pass,pass
timm_models,mobilevit_s,,pass,pass
timm_models,nasnetalarge,,pass,inductor
timm_models,nfnet_l0,,pass,pass
timm_models,pit_b_224,,pass,pass
timm_models,pnasnet5large,,pass,inductor
timm_models,poolformer_m36,,pass,pass
timm_models,regnety_002,,pass,pass
timm_models,repvgg_a2,,pass,pass
timm_models,res2net101_26w_4s,,pass,pass
timm_models,res2net50_14w_8s,,inductor,inductor
timm_models,res2next50,,inductor,inductor
timm_models,resmlp_12_224,,pass,pass
timm_models,resnest101e,,pass,pass
timm_models,resnet18,,pass,pass
timm_models,rexnet_100,,pass,pass
timm_models,sebotnet33ts_256,,pass,pass
timm_models,selecsls42b,,pass,pass
timm_models,spnasnet_100,,pass,pass
timm_models,swin_base_patch4_window7_224,,pass,inductor
timm_models,swsl_resnext101_32x16d,,pass,inductor
timm_models,tf_efficientnet_b0,,pass,pass
timm_models,tf_mixnet_l,,pass,pass
timm_models,tinynet_a,,pass,pass
timm_models,tnt_s_patch16_224,,pass,pass
timm_models,twins_pcpvt_base,,pass,pass
timm_models,visformer_small,,pass,pass
timm_models,vit_base_patch16_224,,pass,pass
timm_models,volo_d1_224,,pass,inductor
timm_models,xcit_large_24_p8_224,,pass,aot
