dev,suite,name,start_latency,batch_size,graphs,graph_calls,captured_ops,total_ops,pct_ops,pct_time
cuda,torchbench,hf_Longformer,9.4035,1,4.0,4.0,3224.0,3227.0,0.9991,0.9951
cuda,huggingface,AllenaiLongformerBase,9.2221,1,4.0,4.0,3271.0,3272.0,0.9997,0.9934
cuda,timm_models,dm_nfnet_f0,9.1348,128,1.0,1.0,590.0,590.0,1.0,0.9985
cuda,timm_models,fbnetv3_b,9.0558,128,1.0,1.0,456.0,456.0,1.0,0.9981
cuda,torchbench,timm_nfnet,8.8653,128,1.0,1.0,590.0,590.0,1.0,0.9984
cuda,timm_models,gluon_senet154,8.7936,64,1.0,1.0,979.0,979.0,1.0,0.9994
cuda,timm_models,cait_m36_384,7.9623,4,1.0,1.0,1370.0,1370.0,1.0,0.9993
cuda,huggingface,YituTechConvBert,7.8043,1,1.0,1.0,683.0,683.0,1.0,0.9979
cuda,huggingface,BigBird,7.5642,1,64.0,75.0,5429.0,5501.0,0.9869,0.9716
cuda,torchbench,hf_BigBird,7.491,1,64.0,75.0,5436.0,5508.0,0.9869,0.9699
cuda,timm_models,resnest101e,7.4456,64,1.0,1.0,1006.0,1006.0,1.0,0.9992
cuda,huggingface,T5ForConditionalGeneration,7.3548,4,1.0,1.0,852.0,852.0,1.0,0.9986
cuda,huggingface,T5Small,7.2757,1,1.0,1.0,863.0,863.0,1.0,0.9979
cuda,huggingface,GPTNeoForSequenceClassification,7.2069,4,2.0,2.0,1269.0,1269.0,1.0,0.9994
cuda,huggingface,GPTNeoForCausalLM,7.139,4,1.0,1.0,1270.0,1270.0,1.0,0.9994
cuda,torchbench,hf_T5,6.7956,1,1.0,1.0,859.0,859.0,1.0,0.9983
cuda,timm_models,densenet121,6.4157,128,13.0,13.0,565.0,571.0,0.9895,0.9961
cuda,timm_models,cspdarknet53,6.2546,64,1.0,1.0,305.0,305.0,1.0,0.9978
cuda,timm_models,xcit_large_24_p8_224,6.2513,11,1.0,1.0,1298.0,1298.0,1.0,0.9991
cuda,huggingface,DebertaV2ForMaskedLM,6.2081,4,163.0,99.0,961.0,1030.0,0.933,0.7853
cuda,huggingface,DebertaV2ForQuestionAnswering,6.1496,4,163.0,99.0,960.0,1048.0,0.916,0.7826
cuda,huggingface,PegasusForConditionalGeneration,6.026,8,7.0,7.0,1309.0,1312.0,0.9977,0.9979
cuda,huggingface,XGLMForCausalLM,5.9395,4,4.0,4.0,989.0,989.0,1.0,0.9973
cuda,huggingface,M2M100ForConditionalGeneration,5.7923,4,7.0,7.0,1315.0,1316.0,0.9992,0.9974
cuda,timm_models,twins_pcpvt_base,5.7188,128,1.0,1.0,1041.0,1041.0,1.0,0.9988
cuda,timm_models,nfnet_l0,5.5191,128,1.0,1.0,521.0,521.0,1.0,0.9983
cuda,timm_models,legacy_senet154,5.427,64,1.0,1.0,979.0,979.0,1.0,0.9992
cuda,timm_models,res2net101_26w_4s,5.3746,128,1.0,1.0,842.0,842.0,1.0,0.9991
cuda,timm_models,poolformer_m36,5.2918,64,1.0,1.0,617.0,617.0,1.0,0.9978
cuda,huggingface,BlenderbotSmallForConditionalGeneration,5.2288,64,1.0,1.0,874.0,874.0,1.0,0.9983
cuda,huggingface,LayoutLMForMaskedLM,5.0961,16,1.0,1.0,459.0,459.0,1.0,0.9946
cuda,timm_models,gernet_l,5.0807,128,1.0,1.0,246.0,246.0,1.0,0.9973
cuda,torchbench,detectron2_maskrcnn,5.0798,2,122.0,120.0,1224.0,1758.0,0.6962,0.7005
